date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:21	399787/399787	---M--	200	added ('OK')	application/pdf	etag:%22323192-619ab-322f5840%22	http://www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_ifu.pdf	(from http://www.merck.com/product/home.html)
16:16:21	701860/701860	---M--	200	added ('OK')	application/pdf	etag:%22323193-ab5a4-c9c3b200%22	http://www.merck.com/product/usa/pi_circulars/n/noxafil/noxafil_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/noxafil/noxafil_ppi.pdf	(from http://www.merck.com/product/home.html)
16:16:34	188435/188435	---M--	200	added ('OK')	application/pdf	etag:%223a21b3-2e013-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/pedvax_hib/pedvax_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pedvax_hib/pedvax_pi.pdf	(from http://www.merck.com/product/home.html)
16:16:49	169282/169282	---M--	200	added ('OK')	application/pdf	etag:%2285458b-29542-a6457740%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_mg.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_mg.pdf	(from http://www.merck.com/product/home.html)
16:17:01	293958/293958	---M--	200	added ('OK')	application/pdf	etag:%2285458c-47c46-a7fff880%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_pi.pdf	(from http://www.merck.com/product/home.html)
16:17:07	288839/288839	---M--	200	added ('OK')	application/pdf	etag:%22854596-46847-a9c9bc00%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_5ml_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_5ml_pi.pdf	(from http://www.merck.com/product/home.html)
16:17:19	276047/276047	---M--	200	added ('OK')	application/pdf	etag:%22854594-4364f-a2d074c0%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_vial_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_vial_ifu.pdf	(from http://www.merck.com/product/home.html)
16:17:35	278461/278461	---M--	200	added ('OK')	application/pdf	etag:%22854593-43fbd-a09be180%22	http://www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_vial_5ml_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pegintron/pegintron_vial_5ml_ifu.pdf	(from http://www.merck.com/product/home.html)
16:17:35	93418/93418	---M--	200	added ('OK')	application/pdf	etag:%2279cd82-16cea-c689a640%22	http://www.merck.com/product/usa/pi_circulars/p/pneumovax_23/pneumovax_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pneumovax_23/pneumovax_ppi.pdf	(from http://www.merck.com/product/home.html)
16:17:46	239248/239248	---M--	200	added ('OK')	application/pdf	etag:%2279cd80-3a690-c64c9d40%22	http://www.merck.com/product/usa/pi_circulars/p/pneumovax_23/pneumovax_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pneumovax_23/pneumovax_pi.pdf	(from http://www.merck.com/product/home.html)
16:17:58	139873/139873	---M--	200	added ('OK')	application/pdf	etag:%22854592-22261-4df6a980%22	http://www.merck.com/product/usa/pi_circulars/p/pregnyl/pregnyl_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/p/pregnyl/pregnyl_pi.pdf	(from http://www.merck.com/product/home.html)
